pre_skeleton_id,post_skeleton_id,weight
29,2506050,2
29,3234817,10
29,3299214,4
29,3347834,8
29,3522293,8
29,3813487,2
29,3886356,6
29,3890028,2
29,4103336,1
29,4195012,8
29,4230061,2
29,4230749,4
29,4241237,10
29,4381129,2
29,4381377,6
29,4414163,2
29,4414184,10
29,4414426,4
29,4415241,2
29,4444354,4
29,4598363,6
29,4884579,4
29,4982172,12
29,5019924,2
29,5835815,2
29,5836163,4
29,5836181,4
29,5966099,6
29,6611894,8
29,7057894,4
29,7196392,6
29,7616956,14
29,7690945,8
29,7802210,4
29,7828725,2
29,7829784,2
29,7838405,4
29,7840203,4
29,7840791,4
29,7868195,2
29,7891312,8
29,7897469,6
29,7901791,8
29,8066542,4
29,8274902,12
29,8338584,4
29,8413663,6
29,8419602,18
29,8427677,14
29,8504660,2
29,8509987,16
29,8559607,2
29,8689674,2
29,8723397,4
29,8792120,6
29,8835968,4
29,8891315,4
29,8924186,2
29,8957325,4
29,8980589,4
29,9469519,2
29,9511772,2
29,9525492,4
29,9531722,8
29,9556700,4
29,9707941,4
29,9730873,6
29,9741463,2
29,9796812,4
29,9809626,2
29,9813188,2
29,9847388,4
29,9897223,2
29,10163418,12
29,10259967,4
29,11524047,8
29,11813287,2
29,12475432,2
29,15592096,4
29,15617305,10
29,16625432,4
29,16720240,2
29,16758011,1
29,16795524,2
29,16795838,2
29,16846805,2
29,16850888,2
29,16984033,1
10063,4393049,1
18509,11525714,1
37365,8111135,2
40045,3712893,2
40045,7107433,1
40045,7865652,72
40045,11543212,8
566252,15810983,1
566252,16353832,1
567254,12805363,1
677717,29,2
677717,2506050,2
677717,3234817,2
677717,3347834,6
677717,3522293,2
677717,4230749,2
677717,4414426,2
677717,4919895,2
677717,4982172,2
677717,5835799,2
677717,5836387,2
677717,7057894,2
677717,7196392,2
677717,7802210,2
677717,7828725,2
677717,8259192,2
677717,8338584,2
677717,8419602,4
677717,8427677,10
677717,8504660,8
677717,8509987,4
677717,8723397,4
677717,8835968,2
677717,8891315,4
677717,8957325,6
677717,8978117,6
677717,8997281,6
677717,9511772,2
677717,9525492,2
677717,9531722,4
677717,9707941,8
677717,9741463,4
677717,10169396,4
677717,10259967,2
677717,11593533,1
677717,12871993,2
677717,15190130,1
677717,15617305,2
677717,16625432,4
677717,16850888,2
677717,17544106,1
766246,7555968,9
867393,5966099,1
867393,6611894,1
867393,15253921,1
902877,7555968,12
1011675,11525714,1
1054167,3712893,1
1054167,16795838,1
1065951,5966099,2
1065951,15404207,5
1067653,4391978,3
1140843,4119387,6
1140843,4391978,3
1165084,8319311,1
1369495,8012953,1
1392771,15253921,1
1401224,11525714,1
1591351,8689674,8
1591351,17295912,12
1646076,3886356,1
1646076,5966099,1
1679034,3886356,1
1679034,9109799,4
1679034,17016974,1
1715990,7934904,1
1868538,15404207,1
1869592,3712893,2
1869592,4876704,1
1869592,7555968,6
1869592,8068173,1
1869592,8094859,2
1869592,9469519,1
1888622,12805363,4
2142817,7057894,2
2204467,7187384,1
2204467,9747418,1
2209091,8111135,4
2215447,8111135,1
2216131,8111135,1
2216187,8111135,8
2284021,4414163,1
